CIF_Name,Neigh_Order,sym,is_new_sym,Energy
Al1Au1_MgHg_sym38_7_0,3_Neigh,38,True,-3.462
Al1Au1_MgHg_sym38_22_0,3_Neigh,38,True,-3.462
Al1Au1_TlAu_sym2_1_0,3_Neigh,2,True,-3.448
Al1Au1_MgHg_sym187_42_0,3_Neigh,187,False,-3.447
Al1Au1_MgHg_sym156_8_0,3_Neigh,156,True,-3.447
Al1Au1_MgHg_sym156_23_0,3_Neigh,156,True,-3.447
Al1Au1_MgHg_sym59_44_0,3_Neigh,59,True,-3.441
Al1Au1_MgHg_sym164_29_0,3_Neigh,164,True,-3.385
Al1Au1_MgHg_sym164_14_0,3_Neigh,164,True,-3.385
Al1Au1_MgTl_sym63_11_0,3_Neigh,63,True,-3.328
Al1Au1_MgIn_sym12_19_0,3_Neigh,12,False,-3.323
Al1Au1_MgIn_sym12_5_0,3_Neigh,12,False,-3.322
Al1Au1_MgIn_sym8_24_0,3_Neigh,8,True,-3.315
Al1Au1_MgIn_sym62_43_0,3_Neigh,62,True,-3.314
Al1Au1_MgIn_sym59_40_0,3_Neigh,59,True,-3.309
Al1Au1_MgIn_sym59_37_0,3_Neigh,59,True,-3.3
Al1Au1_GaCu_sym191_5_0,2_Neigh,191,True,-3.298
Al1Au1_MgIn_sym57_46_0,3_Neigh,57,True,-3.297
Al1Au1_MgIn_sym59_9_0,3_Neigh,59,True,-3.287
Al1Au1_MgIn_sym59_23_0,3_Neigh,59,True,-3.287
Al1Au1_MgTl_sym198_10_0,3_Neigh,198,True,-3.285
Al1Au1_MgIn_sym5_17_0,3_Neigh,5,True,-3.28
Al1Au1_MgIn_sym5_3_0,3_Neigh,5,True,-3.28
Al1Au1_MgIn_sym6_38_0,3_Neigh,6,True,-3.277
Al1Au1_MgIn_sym26_48_0,3_Neigh,26,True,-3.273
Al1Au1_MgIn_sym26_35_0,3_Neigh,26,True,-3.272
Al1Au1_MgIn_sym6_41_0,3_Neigh,6,True,-3.271
Al1Au1_MgIn_sym11_34_0,3_Neigh,11,False,-3.27
Al1Au1_MgIn_sym6_39_0,3_Neigh,6,True,-3.265
Al1Au1_MgIn_sym8_10_0,3_Neigh,8,True,-3.264
Al1Au1_MgTl_sym62_5_0,3_Neigh,62,True,-3.264
Al1Au1_MgIn_sym38_15_0,3_Neigh,38,True,-3.26
Al1Au1_MgIn_sym38_1_0,3_Neigh,38,True,-3.26
Al1Au1_MgIn_sym38_6_0,3_Neigh,38,True,-3.259
Al1Au1_MgTl_sym59_4_0,3_Neigh,59,True,-3.256
Al1Au1_MgIn_sym38_20_0,3_Neigh,38,True,-3.255
Al1Au1_MgIn_sym59_47_0,3_Neigh,59,True,-3.254
Al1Au1_MgIn_sym25_50_0,3_Neigh,25,True,-3.251
Al1Au1_MgIn_sym38_0_0,3_Neigh,38,True,-3.249
Al1Au1_MgIn_sym187_42_0,3_Neigh,187,False,-3.246
Al1Au1_MgIn_sym59_36_0,3_Neigh,59,True,-3.245
Al1Au1_MgIn_sym11_49_0,3_Neigh,11,False,-3.243
Al1Au1_MgIn_sym8_11_0,3_Neigh,8,True,-3.241
Al1Au1_MgIn_sym57_33_0,3_Neigh,57,True,-3.241
Al1Au1_MgIn_sym8_25_0,3_Neigh,8,True,-3.241
Al1Au1_MgIn_sym8_18_0,3_Neigh,8,True,-3.241
Al1Au1_MgIn_sym8_4_0,3_Neigh,8,True,-3.24
Al1Au1_MgTl_sym59_3_0,3_Neigh,59,True,-3.232
