CIF_Name,Neigh_Order,sym,is_new_sym,is_new_struc
Al1Au1_MgIn_sym59_36_0,3_Neigh,59,True,True
Al1Au1_MgGa_sym59_45_0,3_Neigh,59,True,True
Al1Au1_MgIn_sym59_44_0,3_Neigh,59,True,True
Al1Au1_MgGa_sym59_51_0,3_Neigh,59,True,True
Al1Au1_MgIn_sym59_9_0,3_Neigh,59,True,True
Al1Au1_MgHg_sym59_36_0,3_Neigh,59,True,True
Al1Au1_MgIn_sym59_23_0,3_Neigh,59,True,True
Al1Au1_MgIn_sym59_47_0,3_Neigh,59,True,True
Al1Au1_MgGa_sym59_35_0,3_Neigh,59,True,True
Al1Au1_MgHg_sym59_9_0,3_Neigh,59,True,True
Al1Au1_MgGa_sym59_36_0,3_Neigh,59,True,True
Al1Au1_MgIn_sym221_28_0,3_Neigh,221,False,False
Al1Au1_MgIn_sym221_56_0,3_Neigh,221,False,False
Al1Au1_MgTl_sym221_1_0,3_Neigh,221,False,False
Al1Au1_MgTl_sym221_0_0,3_Neigh,221,False,False
Al1Au1_MgIn_sym221_57_0,3_Neigh,221,False,False
Al1Au1_MgGa_sym221_29_0,3_Neigh,221,False,False
Al1Au1_MgHg_sym221_0_0,3_Neigh,221,False,False
Al1Au1_MgHg_sym221_56_0,3_Neigh,221,False,False
Al1Au1_MgTl_sym221_12_0,3_Neigh,221,False,False
Al1Au1_MgHg_sym221_30_0,3_Neigh,221,False,False
Al1Au1_MgHg_sym221_15_0,3_Neigh,221,False,False
Al1Au1_MgHg_sym221_55_0,3_Neigh,221,False,False
Al1Au1_MgGa_sym221_54_0,3_Neigh,221,False,False
Al1Au1_MgGa_sym221_55_0,3_Neigh,221,False,False
Al1Au1_MgTl_sym221_13_0,3_Neigh,221,False,False
Al1Au1_MgGa_sym5_4_0,3_Neigh,5,True,True
Al1Au1_MgHg_sym5_3_0,3_Neigh,5,True,True
Al1Au1_MgIn_sym5_17_0,3_Neigh,5,True,True
