CIF_Name,Neigh_Order,Energy_mace,Energy_m3gnet,Mean_Energy
Au1Al1_GaAu_Pnma_0_0,1_Neigh,-3.902,-3.898,-3.9000000000000004
Au1Al1_AlAg_P-6m2_0_0,1_Neigh,-3.703,-3.845,-3.774
